央视卫视,#genre#
CCTV1,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226675/index.m3u8
CCTV2,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226703/index.m3u8
CCTV3,http://hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227038/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226692/index.m3u8
CCTV5,http://hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227041/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226745/index.m3u8
CCTV6,http://hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227099/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227102/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV12,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226736/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV16,http://hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227071/index.m3u8
CCTV16,http://hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227074/index.m3u8
CCTV17,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226841/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
湖南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226669/index.m3u8
东南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226046/index.m3u8
东方卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226697/index.m3u8
江苏卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226672/index.m3u8
浙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226795/index.m3u8
北京卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226666/index.m3u8
天津卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226742/index.m3u8
安徽卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226746/index.m3u8
山东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226739/index.m3u8
广东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226686/index.m3u8
深圳卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226725/index.m3u8
湖北卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226705/index.m3u8
江西卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226044/index.m3u8
重庆卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226737/index.m3u8
辽宁卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226689/index.m3u8
黑龙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226749/index.m3u8
吉林卫视,http://hwottcdn.ln.chinamobile.com/PLTV/3/224/3221227163/index.m3u8
四川卫视,http://hwottcdn.ln.chinamobile.com/PLTV/88888888/224/3221226728/index.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/playlist.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
